smiles,index,qed,sa_score,logp,molecular_weight,num_atoms,num_rings,num_aromatic_rings,num_rotatable_bonds,tpsa,hbd,hba,lipinski_violations
[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[O].[O].[O].[O],73,0.533746629670633,0,0.41898999999999975,196.11699999999996,15,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[C].[C].[O].[O].[O].[O].[O],74,0.45597509206592196,0,-0.1062600000000001,152.06099999999998,11,0,0,0,142.5,0,0,0
[C].[C].[O].[O].[O].[O],75,0.3859891139462582,0,-0.31262,88.018,6,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[C].[O].[O],76,0.4086310355452127,0,0.16884999999999994,92.05299999999998,7,0,0,0,57.0,0,0,0
[C].[C].[C].[C].[C].[C].[O].[O],77,0.422670523185181,0,0.2501399999999999,104.06399999999998,8,0,0,0,57.0,0,0,0
[C].[C].[O].[O].[O],78,0.3793394560368868,0,-0.19382,72.019,5,0,0,0,85.5,0,0,0
[C].[C].[C].[C].[C].[O].[O].[O].[O].[O],79,0.4390240730896542,0,-0.18755000000000005,140.04999999999998,10,0,0,0,142.5,0,0,0
[C].[C].[C].[O].[O].[O].[O],80,0.3996257909277611,0,-0.23132999999999998,100.029,7,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[C].[C].[C].[C].[C].[O].[O].[O].[O].[O].[O],81,0.5174575962106904,0,0.018809999999999785,204.09299999999996,15,0,0,0,171.0,0,0,0
[O].[O].[O].[O].[O].[O],82,0.37044597257541545,0,-0.7128,95.994,6,0,0,0,171.0,0,0,0
C1O[C@@H]2OO[C@]34[C@@H]5[C@@]13[C@@]254,83,0.413812723564479,0,-0.32689999999999997,124.09499999999998,9,6,0,0,27.69,0,3,0
[C].[O].[O].[O],84,0.36801366199437857,0,-0.27511,60.008,4,0,0,0,85.5,0,0,0
[C].[C].[C].[C].[C].[O].[O].[O],85,0.4194824823530789,0,0.05004999999999994,108.05199999999998,8,0,0,0,85.5,0,0,0
[C].[O].[O].[O].[O],86,0.37336706237639716,0,-0.39391000000000004,76.007,5,0,0,0,114.0,0,0,0
[C].[C].[C].[O].[O].[O],87,0.3917109579506221,0,-0.11252999999999999,84.03,6,0,0,0,85.5,0,0,0
[O].[O].[O].[O].[O],88,0.3658955206488371,0,-0.594,79.995,5,0,0,0,142.5,0,0,0
[C].[C].[C].[O].[O].[O],89,0.3917109579506221,0,-0.11252999999999999,84.03,6,0,0,0,85.5,0,0,0
[O].[O].[O].[O],90,0.36178655979076835,0,-0.4752,63.996,4,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[O].[O].[O].[O],91,0.4142247666467541,0,-0.15004,112.03999999999998,8,0,0,0,114.0,0,0,0
[C].[C].[O].[O].[O].[O],92,0.3859891139462582,0,-0.31262,88.018,6,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[O].[O].[O].[O].[O].[O],93,0.5343104360574089,0,0.10009999999999976,216.10399999999996,16,0,0,0,171.0,0,0,0
[C].[C].[O].[O].[O],94,0.3793394560368868,0,-0.19382,72.019,5,0,0,0,85.5,0,0,0
[C].[C].[C].[C].[C].[C].[O].[O].[O].[O].[O],95,0.45597509206592196,0,-0.1062600000000001,152.06099999999998,11,0,0,0,142.5,0,0,0
[C].[C].[O],96,0.36488769672301363,0,0.04378,40.021,3,0,0,0,28.5,0,0,0
[C].[C].[C].[O].[O].[O].[O].[O].[O],97,0.4145085744192139,0,-0.46893,132.027,9,0,0,0,171.0,0,0,0
[C].[C].[O].[O].[O],98,0.3793394560368868,0,-0.19382,72.019,5,0,0,0,85.5,0,0,0
[C].[C].[O].[O].[O],99,0.3793394560368868,0,-0.19382,72.019,5,0,0,0,85.5,0,0,0
